3258,488,1,54,748.63
1675,198,1,49,251.99
1104,890,1,85,959.2
1704,824,1,76,989.72
2917,896,1,31,1276.81
1573,924,1,62,1073
2821,240,1,49,357.55
2985,717,2,77,1273.08
4585,118,1,29,221.61
1013,384,1,46,411.24
1633,58,1,46,89.13
3950,602,1,42,998
1287,300,2,41,430.94
4748,560,1,32,1017.93
628,308,2,11,384.6
3632,135,2,55,278.15
2740,472,1,56,675.03
2669,331,2,59,577.65
3396,95,1,9,147.71
2207,415,2,57,675.81
3691,296,1,33,480.91
4739,846,1,82,1553.05
3932,340,2,69,687.02
3618,158,2,12,298.89
1341,97,1,37,123.2
2274,447,2,38,722.47
3697,905,1,35,1438.54
3159,419,1,38,629.95
466,975,1,111,930.16
4325,161,1,19,283.37
